,Unnamed: 0,model,number_of_genes,number_of_reactions,nullity,id
118,0,322_B/Seed471871.7.796.xml,800,1495,291,Seed471871
119,0,322_B/Seed439235.3.796.xml,737,1326,243,Seed439235
120,0,322_B/Seed515621.3.796.xml,806,1509,303,Seed515621
121,0,322_B/Seed59922.7.796.xml,565,1149,221,Seed599
122,0,322_B/Seed360910.3.796.xml,843,1519,320,Seed360910
123,0,322_B/Seed435591.10.796.xml,748,1478,309,Seed435591
124,0,322_B/Seed567106.3.796.xml,512,1162,225,Seed567106
125,0,322_B/Seed525246.3.796.xml,621,1292,256,Seed525246
126,0,322_B/Seed399795.3.796.xml,1080,1687,378,Seed399795
127,0,322_B/Seed52598.3.796.xml,825,1509,323,Seed52598
128,0,322_B/Seed398578.3.796.xml,1176,1838,444,Seed398578
129,0,322_B/Seed749414.3.796.xml,1653,1756,406,Seed749414
130,0,322_B/Seed643562.5.796.xml,669,1253,233,Seed64356
131,0,322_B/Seed644107.3.796.xml,870,1501,318,Seed644107
132,0,322_B/Seed640512.3.796.xml,1336,1853,447,Seed64051
133,0,322_B/Seed272843.1.796.xml,678,1443,332,Seed27284
134,0,322_B/Seed137722.3.796.xml,1346,1756,386,Seed1377
135,0,322_B/Seed688245.4.796.xml,1062,1766,406,Seed688245
136,0,322_B/Seed402626.5.796.xml,1072,1714,391,Seed402626
137,0,322_B/Seed525271.4.796.xml,776,1441,303,Seed525271
138,0,322_B/Seed563773.3.796.xml,1008,1833,429,Seed56377
139,0,322_B/Seed405533.4.796.xml,1132,1890,439,Seed4055
140,0,322_B/Seed645464.3.796.xml,512,1154,226,Seed645464
